`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 130, 'id': '5ad572b15b96ef001a10af07', 'loss': 0.00388778792694211, 'grad_norm': 0.2202521413564682, 'input_tokens': 230, 'supervised_tokens': 5}
{'step': 131, 'id': '56e1bd4acd28a01900c67afd', 'loss': 0.07616367191076279, 'grad_norm': 1.8467763662338257, 'input_tokens': 157, 'supervised_tokens': 7}
{'step': 132, 'id': '5ad53ac65b96ef001a10abae', 'loss': 0.0007529797730967402, 'grad_norm': 0.028796836733818054, 'input_tokens': 141, 'supervised_tokens': 5}
{'step': 133, 'id': '5ad53b9d5b96ef001a10abcc', 'loss': 1.5483510494232178, 'grad_norm': 40.6226806640625, 'input_tokens': 223, 'supervised_tokens': 5}
{'step': 134, 'id': '56e200e4cd28a01900c67c17', 'loss': 0.03254518657922745, 'grad_norm': 3.1463820934295654, 'input_tokens': 153, 'supervised_tokens': 6}
{'step': 135, 'id': '5ad542db5b96ef001a10abf8', 'loss': 0.10020170360803604, 'grad_norm': 13.46855640411377, 'input_tokens': 199, 'supervised_tokens': 5}
{'step': 136, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.31934037804603577, 'grad_norm': 19.579713821411133, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 137, 'id': '56e20a27cd28a01900c67c24', 'loss': 1.9589818716049194, 'grad_norm': 59.254329681396484, 'input_tokens': 145, 'supervised_tokens': 4}
{'step': 138, 'id': '56e1aba0e3433e1400423095', 'loss': 0.35408657789230347, 'grad_norm': 13.052630424499512, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 139, 'id': '5ad547945b96ef001a10ac1a', 'loss': 0.003470941912382841, 'grad_norm': 0.38269469141960144, 'input_tokens': 162, 'supervised_tokens': 5}
{'step': 140, 'id': '5ad55fe75b96ef001a10ad0f', 'loss': 0.017831159755587578, 'grad_norm': 1.9992343187332153, 'input_tokens': 122, 'supervised_tokens': 5}
{'step': 141, 'id': '56e1b169cd28a01900c67a73', 'loss': 3.1869235038757324, 'grad_norm': 42.47772979736328, 'input_tokens': 164, 'supervised_tokens': 5}
{'step': 142, 'id': '56e1c720e3433e140042316a', 'loss': 1.6951576471328735, 'grad_norm': 29.39761734008789, 'input_tokens': 263, 'supervised_tokens': 5}
{'step': 143, 'id': '56e181d9e3433e1400422fa4', 'loss': 0.5819428563117981, 'grad_norm': 14.287034034729004, 'input_tokens': 181, 'supervised_tokens': 5}
{'step': 144, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.7906649112701416, 'grad_norm': 54.26415252685547, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 145, 'id': '5ad545545b96ef001a10ac07', 'loss': 1.6934471130371094, 'grad_norm': 32.36829376220703, 'input_tokens': 165, 'supervised_tokens': 5}
{'step': 146, 'id': '5ad55ee35b96ef001a10ace8', 'loss': 0.11317268759012222, 'grad_norm': 15.037147521972656, 'input_tokens': 247, 'supervised_tokens': 5}
{'step': 147, 'id': '5ad56fe65b96ef001a10aec5', 'loss': 0.006026185117661953, 'grad_norm': 0.5478958487510681, 'input_tokens': 148, 'supervised_tokens': 5}
{'step': 148, 'id': '5ad56c6b5b96ef001a10ae6e', 'loss': 0.0010803125333040953, 'grad_norm': 0.06674955785274506, 'input_tokens': 165, 'supervised_tokens': 5}
{'step': 149, 'id': '5ad5489b5b96ef001a10ac2e', 'loss': 0.023691369220614433, 'grad_norm': 2.943552255630493, 'input_tokens': 192, 'supervised_tokens': 5}
{'step': 150, 'id': '5ad565575b96ef001a10adb5', 'loss': 0.011223884299397469, 'grad_norm': 0.5089479684829712, 'input_tokens': 201, 'supervised_tokens': 5}
{'step': 151, 'id': '5ad565575b96ef001a10adb2', 'loss': 0.004577301908284426, 'grad_norm': 0.34759512543678284, 'input_tokens': 197, 'supervised_tokens': 5}
{'step': 152, 'id': '56e1b355e3433e14004230b2', 'loss': 0.10681123286485672, 'grad_norm': 8.208050727844238, 'input_tokens': 190, 'supervised_tokens': 6}
{'step': 153, 'id': '56e17e6ee3433e1400422f81', 'loss': 1.1492784023284912, 'grad_norm': 42.490264892578125, 'input_tokens': 195, 'supervised_tokens': 5}
{'step': 154, 'id': '56e1c7e2cd28a01900c67b76', 'loss': 0.4881559908390045, 'grad_norm': 32.5309944152832, 'input_tokens': 140, 'supervised_tokens': 4}
{'step': 155, 'id': '56e190bce3433e1400422fcc', 'loss': 0.1449642777442932, 'grad_norm': 13.355804443359375, 'input_tokens': 221, 'supervised_tokens': 3}
{'step': 156, 'id': '5ad537a15b96ef001a10ab9a', 'loss': 0.026619236916303635, 'grad_norm': 1.724285364151001, 'input_tokens': 206, 'supervised_tokens': 5}
{'step': 157, 'id': '56e1b8f3e3433e14004230e9', 'loss': 2.825239419937134, 'grad_norm': 51.28397750854492, 'input_tokens': 142, 'supervised_tokens': 3}
